Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
7,24,Fiel,"7,717,211","Los Legendarios, Wisin, Jhay Cortez",31488,"['reggaeton', 'trap latino']"
1,83,Dance Monkey,"7,687,058",Tones And I,2819593,"['australian pop', 'pop']"
7,34,WITHOUT YOU,"7,642,130",The Kid LAROI,2230022,['australian hip hop']
6,21,Wants and Needs (feat. Lil Baby),"7,637,626",Drake,56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
83,2,Bezos I,"7,516,291",Bo Burnham,1042079,['comic']
76,3,Love Again,"7,465,445",Dua Lipa,1250353,[]
32,28,Goosebumps - Remix,"7,452,633","Travis Scott, HVME",17719446,"['rap', 'slap house']"
11,55,Head & Heart (feat. MNEK),"7,434,252",Joel Corry,207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
42,20,BED,"7,383,369","Joel Corry, RAYE, David Guetta",207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
78,8,Iko Iko (My Bestie),"7,381,585","Justin Wellington, Small Jam",18228,"['melanesian pop', 'pacific islands pop', 'png pop']"
89,1,Better Believe,"7,365,053","Belly, The Weeknd, Young Thug",203972,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']"
23,25,Arcade,"7,353,795",Duncan Laurence,287361,['dutch pop']
55,13,512,"7,336,542","Mora, Jhay Cortez",151486,"['reggaeton', 'trap latino']"
1,40,positions,"7,244,853",Ariana Grande,67158068,"['dance pop', 'pop', 'post-teen pop']"
6,84,Circles,"7,156,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']"
94,1,Blaues Licht,"7,084,292","RAF Camora, Bonez MC",1329531,['german hip hop']
75,10,Ram Pam Pam,"7,064,003","Natti Natasha, Becky G",6341942,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']"
96,4,In Da Getto,"6,984,262","J Balvin, Skrillex",1250353,[]
97,3,Woman,"6,858,466",Doja Cat,8640063,"['dance pop', 'pop']"
60,8,t r a n s p a r e n t s o u l feat. Travis Barker,"6,853,994",WILLOW,1521837,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']"
99,2,Clash (feat. Stormzy),"6,825,463",Dave,1427540,['uk hip hop']
22,83,Before You Go,"6,813,800",Lewis Capaldi,8384096,"['pop', 'uk pop']"
52,19,Levitating,"6,799,831",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']"
85,5,Reckless,"6,711,375",Madison Beer,3363988,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
103,5,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","6,709,106",BANDIDO,16074,[]
88,83,Believer,"6,699,895",Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']"
2,48,"Lemonade (feat. Gunna, Don Toliver & NAV)","6,697,067",Internet Money,411579,"['pop rap', 'rap', 'trap']"
45,19,Talking to the Moon,"6,660,319",Bruno Mars,32574754,"['dance pop', 'pop', 'post-teen pop']"
3,83,Roses - Imanbek Remix,"6,653,690",SAINt JHN,742692,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']"
59,11,Sal y Perrea,"6,635,076",Sech,8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
109,3,Fulanito,"6,614,072","Becky G, El Alfa",10356559,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
110,1,París,"6,584,896",Ingratax,56699,[]
46,83,lovely (with Khalid),"6,569,547",Billie Eilish,47014200,"['electropop', 'pop']"
24,83,Sunflower - Spider-Man: Into the Spider-Verse,"6,546,948","Post Malone, Swae Lee",1250353,[]
113,3,double take,"6,539,852",dhruv,73211,"['chill r&b', 'nyc pop']"
9,29,Streets,"6,502,302",Doja Cat,8640063,"['dance pop', 'pop']"
80,8,By Your Side (feat. Tom Grennan),"6,488,622",Calvin Harris,21942793,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
116,3,MORENA,"6,469,500",Luan Santana,5420471,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
80,80,Shape of You,"6,452,492",Ed Sheeran,83293380,"['pop', 'uk pop']"
9,83,Señorita,"6,317,487","Shawn Mendes, Camila Cabello",33879560,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
5,21,Hold On,"6,300,416",Justin Bieber,1250353,[]
99,83,Perfect,"6,278,765",Ed Sheeran,83293380,"['pop', 'uk pop']"
80,5,2:50 Remix,"6,244,011","MYA, TINI, Duki",282045,['latin pop']
2,35,LA NOCHE DE ANOCHE,"6,242,863","Bad Bunny, ROSALÍA",36142273,"['latin', 'reggaeton', 'trap latino']"
1,67,ROCKSTAR (feat. Roddy Ricch),"6,180,056",DaBaby,7593046,"['north carolina hip hop', 'rap']"
12,53,Heather,"6,164,795",Conan Gray,3794081,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']"
13,55,you broke me first,"6,152,121",Tate McRae,1647262,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
126,18,The Nights,"6,136,340",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']"
122,37,Riptide,"6,089,242",Vance Joy,2421254,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
128,30,Smells Like Teen Spirit,"6,065,267",Nirvana,13261089,"['grunge', 'permanent wave', 'rock']"
11,10,enough for you,"6,040,918",Olivia Rodrigo,6266514,['pop']
99,42,Daddy Issues,"6,014,443",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']"
131,3,Aquelas Coisas,"6,012,839",João Gomes,409173,[]
19,12,Miss The Rage (feat. Playboi Carti),"5,952,490",Trippie Redd,6430522,"['melodic rap', 'rap', 'trap']"
4,83,Memories,"5,928,329",Maroon 5,32262679,"['pop', 'pop rock']"
76,16,Another Love,"5,914,661",Tom Odell,1838616,['pop']
135,4,Here's Your Perfect,"5,912,784",Jamie Miller,64288,['pop soul']
108,37,Take Me To Church,"5,907,750",Hozier,4781906,"['irish singer-songwriter', 'modern rock', 'pop']"
110,13,Little Bit of Love,"5,848,466",Tom Grennan,261225,"['modern rock', 'uk pop']"
138,4,Ficha Limpa,"5,847,975",Gusttavo Lima,12969190,"['sertanejo', 'sertanejo universitario']"
14,25,Up,"5,845,156",Cardi B,17353707,"['dance pop', 'pop', 'pop rap', 'rap']"
2,52,Hawái,"5,769,714",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']"
141,1,New Normal,"5,768,653",Khalid,14187747,['pop']
81,81,Bohemian Rhapsody - Remastered 2011,"5,756,583",Queen,35888760,"['classic rock', 'glam rock', 'rock']"
