Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
40,9,Ropa Cara,"5,249,427",Camilo,10580764,"['colombian pop', 'reggaeton colombiano']"
25,26,Vida de Rico,"5,189,822",Camilo,10580764,"['colombian pop', 'reggaeton colombiano']"
182,3,Devil Eyes,"5,098,581",Hippie Sabotage,713486,"['edm', 'electronic trap']"
141,13,Ponte Pa' Mi,"5,082,870",Justin Quiles,2897862,"['latin', 'reggaeton', 'trap latino']"
109,1,Dámelo To’ (feat. Myke Towers),"6,426,522",Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']"
121,1,Patience (feat. YUNGBLUD & Polo G),"6,155,698",KSI,2010879,['uk hip hop']
56,2,Selfish Love (with Selena Gomez),"6,020,785",DJ Snake,7408249,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
12,14,Snowman,"5,454,807",Sia,20528724,"['australian dance', 'australian pop', 'dance pop', 'pop']"
168,1,DAYWALKER! (feat. CORPSE),"5,439,646",Machine Gun Kelly,3868320,"['ohio hip hop', 'pop rap']"
19,38,La Curiosidad,"5,198,514","Jay Wheeler, DJ Nelson, Myke Towers",1650912,"['latin', 'reggaeton', 'trap latino']"
86,12,All We Got (feat. KIDDO),"5,156,937",Robin Schulz,2786366,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
6,60,Say So,"5,103,528",Doja Cat,8671649,"['dance pop', 'pop']"
157,9,Hope,"5,085,527",XXXTENTACION,29566516,"['emo rap', 'miami hip hop']"
149,46,The Less I Know The Better,"5,084,635",Tame Impala,5064200,"['australian psych', 'neo-psychedelic']"
